images,final dataset
000000057919.jpg,"الثلوج تغطي الشارع، واشارات ضوئية"
000000057930.jpg,قط اسود واخر اشقر ينامون
000000057945.jpg,ساعه وسط الطريق بجوار سور
000000057945.jpg,عمود معلق أعلاه ساعة تشير للساعة الخامسة
000000057969.jpg,سيارة  نقل لعبة بيضاء بها خطوط خضراء وحمراء
000000057992.jpg,حصانان أسودان  يركضان للأسفل علي أرض مائلة.
000000058008.jpg,تفاحة حمراء بجوار موزة صفراء
000000058041.jpg,علبة مربعة بها بعض قطع الحلوي الدائرية المحلاة بالشيكولاتة.
000000058046.jpg,خمس من الأغنام المتواجدة داخل أرض زراعية
000000058057.jpg,شاحنة نقل كبيرة حمراء تظهر في مرآة سيارة تسير في طريق سريع
000000058102.jpg,غرفة تحضير الطعام بها العديد من الأدوات كالموقد وثلاجة وبعض من أدوات التخزين الخشبية
000000058172.jpg,بعض من خضار البروكلي الموضوع مع بعض من الجزر
000000058210.jpg,طائر يقف على الارض بها حشائش
000000058216.jpg,جبل حقلي به الكثير من الأغنام والماعز
000000058241.jpg,مكتبة بها بعض الكتب ومعلق فوقها ساعة.
000000058242.jpg,رجل جالس يقرأ أمام أحد المباني.
000000058253.jpg,أحد المظلات الكبيرة متعددة الالوان
000000058281.jpg,زرافتان تقفان بجوار بعضهم البعض
000000058304.jpg,باص احمر كبير يقف وسط الطريق
000000058483.jpg,أحد الفيلة يسير في طريق محاط ببعض الصخور
000000058563.jpg,طائرة تقف على حشائش خضراء
000000058640.jpg,حيوانات تمشي في الغابة بجوار شجرة
000000058701.jpg,"طريق خالٍ من المارة والسيارت، عليه إشارة مرور ولافتات."
000000058732.jpg,طبق به موضوع بعض الحلوى بجانبه شوكة طعام
000000058733.jpg,طبق به مزيج من المكرونة والخضروات
000000058754.jpg,رجل يقفز عالياً مرتدياً لوح تزحلق داخل منطقة ثلجية
000000058838.jpg,الكثير من الموز الأخضر والأصفر وكمثري ويوسفي.
000000058841.jpg,سور فوقه حوض اسود وورد وردي
000000058851.jpg,حديقة بها مقعد خشبي بجوار سيارة وبعض المباني
000000058857.jpg,طفل صغير يقف على كرسي في غرفة الطعام ويمزج أحد الأطعمة داخل شطيرة
000000058880.jpg,شريحة بيتزا مثلثة مقدمة في طبق أبيض.
000000058915.jpg,"لافتة أعلي محل مكتوب عليها""محل عام"" بالإنحليزية وبجوارها ساعة كبيرة."
000000058929.jpg,طفلة تقف على الشاطئ بالقرب من ادوات سباحة
000000058930.jpg,حافلة خضراء علي الطريق وعلي جانبيها مساحات خضراء.
000000058973.jpg,طفل يطلق طائرة ورقية وسط الغابة
000000058987.jpg,سيارة صفراء بها أشخاص تسير علي الطريق وخلفها بيوت.
000000058997.jpg,مجموعة مراكب شراعية ترسو بميناء الشاطئ
000000058997.jpg,ميناء به عدد من المراكب الشراعية
000000059009.jpg,قطار اخضر يمشي وسط الاشجار
000000059039.jpg,عصفور يقف على جذع شجرة وسط مياه
000000059106.jpg,إشارة مرور تشير للون الأحمر موضوعة بجانب الطريق ويمر به العديد من السيارات
000000059110.jpg,مقعد انتظار خشبي اللون بجواره منضدة
000000059146.jpg,طفل صغير يرتدي ملابس سوداء يقف على الطريق
000000059152.jpg,لوحات مرورية على مفترقات طرق
000000059165.jpg,طفل أمامه بعض قطع الحلوي يأكل منها.
000000059278.jpg,طريقان يسير بهما مجموعة من السيارات المسرعة وهناك بعض من الإشارات التي تشير للون الأخضر
000000059382.jpg,طفل رضيع مستلقي على السرير
000000059383.jpg,"مطبخ  خشبي حديث، به موقد غاز وآخر كهربائي."
000000059384.jpg,سيارة حمراء أمام درج أحد المباني.
000000059385.jpg,ثلاث حقائب حمراء مغلقة موضوعة علي أرض عشبية.
000000059393.jpg,أثنان من الأغنام يركضان خلف بعض في المزرعة
000000059403.jpg,أرفف زجاجية موضوع عليها أطباق مقدم بها شطائر خبز بالخضار وبالأسفل زجاجات وعبوات عصير.
000000059406.jpg,دمية بنية موضوعة علي سرير مفروش بالأبيض.
000000059438.jpg,قطيع ماشية في أرض عشبية.
000000059451.jpg,طائر أحمر اللون يقف علي غصن شجرة تفاح.
000000059454.jpg,صندوق به مجموعة من الدمى على شكل دوناتس بألوان مختلفة
000000059494.jpg,مقعد انتظار بجانب الطريق واسفل منه ورقة شجر
000000059501.jpg,قط بني علي حافة نافذة.
000000059596.jpg,بيت انيق وطاولة سوداء وكنب
000000059610.jpg,أحصنة تقف علي شاطئ البحر.
000000059614.jpg,وجبة من المعكرونة و الخضار في طبق التقديم
000000059641.jpg,إشارات المرور حمراء في وقت الغروب.
000000059682.jpg,طائر كبير يحلق فوق المياه
000000059752.jpg,مجموعة من القوارب على جانب الطريق
000000059776.jpg,"مركب صغير وسط البحر به مجموعة من الأشخاص،ويتصل بحبل ليصل للشاطئ"
000000059882.jpg,طاولة موضوع عليها طبق به بعض من شرائح اللحم بجانب سلطة وموضوع بجانبه سكين وشوكة
000000059892.jpg,أحد الباصات و العربات الآخري المركونة على رصيف المباني
000000059895.jpg,أحد الطيور البيضاء يقف على صخرة
000000059949.jpg,قطة بيضاء تجلس تحت مظلة.
000000059979.jpg,طفل اثناء محاولة ركوب الامواج
000000059996.jpg,جزر و تفاح وفليفلة وموزة
000000059996.jpg,جزرة وتفاحة خضراء وموزة وفلفل أحمر.
000000060005.jpg,قطار سكة مطلي باللون الأسود والأصفر
000000060054.jpg,طائرة تحلق فوق البحر وسفن
000000060054.jpg,طائرة تحلق فوق مسطح مائي به سفن كبيرة.
000000060077.jpg,طفلتان صغيرتان تقفان بجوار بعضهم
000000060088.jpg,طاولة موضوع عليها ورق طعام به قطعة من الدوناتس وكوب
000000060093.jpg,تقاطع طريق واسع وكبير  وعربات
000000060117.jpg,بعض الغنم يجلس ويأكل الحشائش.
000000060126.jpg,طبق به بعض من الحلوى المليئة بالمكسرات وقطع الموز
000000060140.jpg,مجموعة من الكراسى و الطاولات البلاستيكية الموضوعة بالقرب من الشاطئ
000000060172.jpg,طبق اكل يحتوي على الخضار
000000060180.jpg,بروكلي اخضر وقطعه من الدجاج والخضروات
000000060269.jpg,مجموعة من ثمار الموز بجانب بعض الخضار كالبروكلي و البصل مع بعض من الخضروات الآخرى
000000060274.jpg,رضيع ممسك بفرشاة أسنان و يضعها في فمه
000000060316.jpg,غابة زراعية بها العديد من الحمير الوحشية و الحيوانات الآخرى
000000060319.jpg,مركبان صغيران وسط البحر متوقفان
000000060324.jpg,حافلة عمومية لونها اصفر وازرق
000000060332.jpg,آلة مستديرة حادة الأطراف لقطع البيتزا
000000060394.jpg,طريق يسير به قطيع كبير من الأغنام والماعز
000000060400.jpg,غابة مليئة بالأشجار  بها لوحتان أحدهم مكتوب بها عبارة قف
000000060415.jpg,حديقة بها طفل يمسك بأحدي يديه طبق طائر من البلاستيك
000000060431.jpg,"رجل يمسك بمضرب وخوذة وخلفه ولد صغير، يسيران في الملعب."
000000060437.jpg,سيارات تقف علي الطريق والإشارة حمراء.
000000060458.jpg,باص ملون يسير بجوار بعض المباني
000000060464.jpg,أربعة طواجن بها خضار وطعام مطبوخ.
000000060467.jpg,صنية حمراء بها خبز ولبن وفواكه
000000060547.jpg,رجل يشاهد الزرافة في محمية طبيعية
000000060554.jpg,ازهار طبيعية في وعاء زجاجي
000000060639.jpg,طائران بمنقار  يسبحان في الماء.
000000060641.jpg,أربعة علب مربعة مرصوصة علي الطاولة ومفتوحة جوار بعضها بها بيتزا وعلي الجانب أطباق بيضاء.
000000060677.jpg,سيارة زرقاء بجوار اشجار مثمرة
000000060684.jpg,سياراتان من الطراز القديم بداخل حديقة أمام منزل.
000000060684.jpg,مزرعه كبيرة وعربات قديمة في الوسط
000000060699.jpg,نهر به عدد كبير من المراكب الخشبية بها يجلس بعض الركاب
000000060780.jpg,طفل صغير علي السرير يضع يده علي لوحة المفاتيح بالجهاز.
000000060820.jpg,ماكنة عجن بيضاء تعجن عجين
000000060820.jpg,خلاط للخيز به موضوع يعض العجين
000000060859.jpg,قطاران يسيران بنفس الأتجاة بالقرب من أرض زراعية
000000060868.jpg,طائر يقف على عصي التزلج
000000060890.jpg,بجعة وبجوارها طائر أبيض في حديقة ما وعلي الجانب الآخر  سيارات وسط الشجر.
000000060953.jpg,ثلاث طائرات في السماء تحلق
000000060959.jpg,حماران وحشيان في الغابة يبحثان عن فريسة
000000060970.jpg,طبق به بعض من الأرز ومزيج من خضار البروكلي واللحم
000000060986.jpg,دمية بنية اللون مغطاة بغطاء
000000060988.jpg,رجل يقف أمام دراجة نارية وينظر للطائرة المحلقة عالياً
000000060990.jpg,قطار طويل يسير علي القضبان.
000000060993.jpg,ساعة خشبية وسط أشجار كثيفة.
000000061052.jpg,أشجار دائرية الشكل وراء بعضها علي جانب إحدي الطرق.
000000061076.jpg,سيارة تسير علي طريق في جو جليدي ممطر.
000000061106.jpg,طفلان صفيران يلعبان بقصاصات حروف وأرقام.
000000061138.jpg,مجموعة من المظلات اللعبة يتم تطييرها في الهواء.
000000061159.jpg,رجل يصلح إطار السيارة الزرقاء وآخر يمسك المظلة تفاديا للمطر.
000000061181.jpg,طريق عام مليء بالسيارات والعربات المتنوعة
000000061184.jpg,إطلالة على البحر ومظلة بيضاء وبركة سباحة
000000061196.jpg,أشخاص يتزلجون علي الجليد والشجر علي الجانب.
000000061207.jpg,طائرة تحلق فوق أحد الحقول المليئة الاشجار وبعض المباني
000000061231.jpg,طائرات بجانب العديد من عربات النقل في مطار الطائرات
000000061262.jpg,دب بداخل الماء يمسك بشئ دائري أزرق.
000000061307.jpg,طبق به شطيرة خبز وكوب به مجموعة من الجزر المقطع و شريحة من الليمون
000000061328.jpg,أشخاص يتزلجون علي الجليد. وفي المقدمة رجل يمسك بلوح تزلج  أخضرويرتدي معطفا أصفر اللون ونظارة كبيرة ملونة.
000000061338.jpg,شاطئ البحر وعليه مظلات ومقاعد.
000000061399.jpg,بعض من طيور النورس يسيرون على شاطئ البحر
000000061502.jpg,قطعة من البيتزا موضوعة في طبق
000000061532.jpg,رجل  يرتدي قبعة يقف أمام صخرة علي حافة البحيرة ويطير طائرة ورقية.
000000061561.jpg,طفلة تقف أمام عربة مرتدية ملابس ثقيلة
000000061564.jpg,ثلاث فيلة ترتوي من بركة ماء
000000061582.jpg,شطيرة خبز محشوة بالخضار وموضوعة في ورقة.
000000061588.jpg,بعض الطيور تقف علي حجر صغير متجمع وسط الماء وبه بعض الحشائش.
000000061621.jpg,طائرة سوداء صغيرة بها رجل وأمامها رجل آخر وخلفها مجموعة سيارات.
000000061740.jpg,كرسي بداخل حديقة أشجارها متساقطة الأوراق الصفراء.
000000061830.jpg,جبل شاهق وبالأسفل مساحة خضراء بها  قطيع أغنام.
000000061836.jpg,طائر ابيض يقف فوق المياه
000000061837.jpg,كلب أبيض اللون أمامه ثمرة من التفاح
000000061838.jpg,طفل  يجلس علي طاولة الطعام ويأكل شطيرة.
000000062020.jpg,ثلاث زرافات وحمار وحشي وغزال صغير.. جميعهم وسط مزرعة عشبية.
000000062089.jpg,ولد صغير يرتدي خوذة وقفازات للحماية. ويقف علي لوح التزحلق في الميدان.
000000062151.jpg,مجموعة من الأحصنة علي حافة إحدي البحيرات.
000000062154.jpg,مقص ورق ملون بنفسجي وخيط  وقصاصتان علي هيئة حمامة.
000000062154.jpg,بعض الورق موضوع عليه مقص بجانبه ورق مفرغ على شكل حمامتان
000000062160.jpg,قطار باللون الابيض يعبر محطة القطارات
000000062203.jpg,رجال تقوم بتعبئة الموز وتجهيزه للنقل
000000062216.jpg,مجموعة دراجات نارية في موقف
000000062216.jpg,مجموعة كبيرة من الدراجات النارية بجانب بعضها أمام مدخل أحد المباني.
000000062219.jpg,إناء موضوع به العديد من الفاكهة المتنوعة
000000062296.jpg,مرفأ يقف فيه مجموعة قوارب شراعية
000000062298.jpg,أحصنه تاكل الاعشاب من الارض
000000062301.jpg,طائر صغير يقف على شجرة خضراء
000000062307.jpg,الثلج متراكم في حديقة منزل
000000062313.jpg,صينية زرقاء عليها كأس قهوة وقطعتي حلوي ومنديل وشوكة..
000000062337.jpg,أحد الخيول التي تأكل من الحشائش بداخل حديقة
000000062344.jpg,تقطيع البروكلي و تجهيزها للطهي
000000062344.jpg,أحد الأشخاص ممسكاً سكين بيديه ويقسم به خضار البروكلي إلي شرائح
000000062357.jpg,طائر يحاول يلتقط شيء ليأكله من الارض
000000062443.jpg,مبنى به نافذة أمامها يتواجد طاولة و بعض من الزهور الملونة والشجر
000000062481.jpg,دمية بنية  معلق بها ورقة وموضوعة علي صخرة
000000062500.jpg,مقعد خشبي في غابة كبيرة واوراق الاشجار
000000062562.jpg,ساندوتش  ملئ بالخضروات موضوع على ورقة طعام
000000062591.jpg,طبق مقدم به شطيرة خبز محشوة بالجبن وطبق حساء.
000000062685.jpg,طائرة تحلق في سماء المدينة
000000062687.jpg,بعض الأشخاص يسيرون ممسكين مظلات
000000062715.jpg,ساعة فضية فوق ورقة شجر
000000062716.jpg,سلطة خضار و طبق من البيتزا
000000062889.jpg,سياج حديدية تطل على بعض الجبال
000000062937.jpg,"جزء من مطبخ، به أرفف وبعض الزجاجات الموضوعة وموقد كهربائي للتسخين."
000000062942.jpg,سيارة نقل زرقاء في الجراج.
000000062957.jpg,دُمية على شكل دُب بني موضوعة على سرير
000000062985.jpg,شخصان يطيران طائرة ورقية علي الجليد الكثيف.
000000064001.jpg,خيوط برتقالية بجوار مقص على الارض
000000064005.jpg,شرائح البيتزا الشهية معدة للطعام
000000064030.jpg,طيور الاوز تسبح في الماء
000000064116.jpg,بعض المنازل بها مزارع مليئة بالأغنام التي تتغذى على الحشائش
000000064149.jpg,طاولة و كراسي و خزانة كتب
000000064283.jpg,قطيع أغنام يأكلون الحشائش علي التلة.
000000064300.jpg,طائر اسود يقف بجوار شاطئ
000000064309.jpg,فيلين وعلي  أحدهما طائر أبو قردان.
000000064309.jpg,طائر ابيض يقف فوق راس فيل كبير
000000064442.jpg,حصان كبير في مزرعة كبيرة واشجار
000000064454.jpg,وعاء اسود به خضار متنوعه
000000064497.jpg,بقايا قارب علي جانب الطريق المزروع الجوانب.
000000064516.jpg,مجموعه من الساعات القديمة الدائرية
000000064522.jpg,أحصنة في مزرعة خضراء ولها سياج
000000064610.jpg,قطار باللون الازرق و الاصفر يقف في المحطة
000000064659.jpg,مكتب عمل يحتوي على اجهزة حاسوب وهاتف
000000064681.jpg,بيتزا مقسوم منها ويد تاكل
000000064779.jpg,طبق به خضار ملونة ومشكلة
000000064797.jpg,ثلاث من النسور الواقفة على العشب
000000064828.jpg,سرير يقف عليه طفل ممسكاً بدمية وعلى أعلى حافتة تقف فتاة أيضاً ممسكة دُمية
000000064953.jpg,جرار أحمر بجوار سيارة صغيرة وعلي الجانب شجر أخضر.
000000064954.jpg,تورتة بيضاء متعددة الأدوار موضوعة على طاولة بجانبه بوكية من الورد الملون و يوجد أيضاً تورتة بيضاء بدور واحد
000000064961.jpg,شاطئ رملي موضوع به العديد من المظلات الخشبية
000000065028.jpg,سيارة تقف على الاشارة الضوئية في انتظار العبور
000000065218.jpg,بعض من ثمار الجزر الموضوع بجانبها ملفوف أحمر
000000065566.jpg,دراجة نارية حمراء متوقفة على جانب الطريق
000000065567.jpg,طريق سريع طويل ولافته على جانب الطريق
000000065836.jpg,سور صخري موضوع عليه ثمرة موز بجانب علبه بلاستيكية مليئة بالفراولة وبجوارهم عُلبة من الحليب وبالجانب تسير حمامة سوداء
000000065837.jpg,شطيرة موضوعة بجانب بعض المكونات على طاولة
000000065865.jpg,طيور اثناء الصيد من الماء
000000065961.jpg,"حصان أبيض وبالخلف عدة أحصنة، متواجدون في أرض صفراء الزرع أسفل مرتفع"
000000065986.jpg,"دراجة تستند علي مجسم به نماذج للساعات، أمام مبني وسط الأشجار."
000000066082.jpg,باص يتكون من طابقين وردي اللون
000000066154.jpg,العديد من الأواني الفخارية متعددة الألوان
000000066209.jpg,طبق مقدم به بروكلي وجمبري
000000066234.jpg,مركبان قديمان موضوعان بجوار الأشجار.
000000066234.jpg,مراكب قديمة أصابها الصدأ على اليابسة
000000066316.jpg,قوارب على شاطئ وتظهر انها متروكة
000000066325.jpg,قطار أحمر علي القضبان بجانب كوبري وأشجار علي الجانب.
